"bloco","bairro","regiao","data","data_relativa","concentracao","desfile","final","local_da_concentracao","percurso","publico_estimado","ano_do_primeiro_desfile","label","lon","lat"
"MultiBloco (Ensaio)","Lapa","Centro",2018-01-28,"Domingo - 2 semanas antes do Carnaval",1899-12-31 15:30:00,1899-12-31 16:00:00,1899-12-31 18:30:00,"rua dos invalidos rio de janeiro","Parado",250,2009,"Bloco: MultiBloco (Ensaio) - Bairro: Lapa - Regiao: Zona Norte 2Data: 2018-01-28 - Concentração 15:30:00",-43.1849075,-22.9115703
"Pra Se Apaixonar","Quintino Bocaiúva","Zona Norte 1",2018-01-28,"Domingo - 2 semanas antes do Carnaval",1899-12-31 16:00:00,1899-12-31 19:00:00,1899-12-31 22:00:00,"rua vital rio de janeiro","Parado",4000,2013,"Bloco: Pra Se Apaixonar - Bairro: Quintino Bocaiúva - Regiao: Zona Norte 2Data: 2018-01-28 - Concentração 16:00:00",NA,NA
"Se Cair Eu Como","Ilha do Governador","Zona Norte 3",2018-01-28,"Domingo - 2 semanas antes do Carnaval",1899-12-31 10:00:00,1899-12-31 11:00:00,1899-12-31 16:00:00,"praca da freguesia rio de janeiro","Orla da Praia da Guanabara até a Praça do Bananal (Pedra da Onça)",3000,2011,"Bloco: Se Cair Eu Como - Bairro: Ilha do Governador - Regiao: Zona Norte 2Data: 2018-01-28 - Concentração 10:00:00",-43.3436997,-22.9405932
"Tudo Nosso Tamo Junto","Copacabana","Zona Sul",2018-01-28,"Domingo - 2 semanas antes do Carnaval",1899-12-31 13:00:00,1899-12-31 13:00:00,1899-12-31 19:00:00,"rua ronald de carvalho  rio de janeiro","Parado",300,2016,"Bloco: Tudo Nosso Tamo Junto - Bairro: Copacabana - Regiao: Zona Norte 2Data: 2018-01-28 - Concentração 13:00:00",-43.1769425,-22.9649132
"Volta, Alice","Laranjeiras","Zona Sul",2018-01-28,"Domingo - 2 semanas antes do Carnaval",1899-12-31 08:00:00,1899-12-31 09:00:00,1899-12-31 13:00:00,"rua alice  rio de janeiro","Rua Alice, do nº 1 ao nº 550 - esquina com Mario Portela",5000,2005,"Bloco: Volta, Alice - Bairro: Laranjeiras - Regiao: Zona Norte 2Data: 2018-01-28 - Concentração 08:00:00",-43.194631,-22.9353773
"Xodó da Piedade","Piedade","Zona Norte 2",2018-01-28,"Domingo - 2 semanas antes do Carnaval",1899-12-31 16:00:00,1899-12-31 17:00:00,1899-12-31 22:00:00,"rua mario carpenter rio de janeiro","PARADO",1500,1972,"Bloco: Xodó da Piedade - Bairro: Piedade - Regiao: Zona Norte 2Data: 2018-01-28 - Concentração 16:00:00",-43.2974783,-22.8882707
"Discípulos do Oswaldo","Manguinhos","Zona Norte 2",2018-01-31,"Quarta-feira 1 semana antes do Carnaval",1899-12-31 17:00:00,1899-12-31 20:00:00,1899-12-31 22:00:00,"rua rosa da fonseca rio de janeiro","Rua Rosa da Fonseca Rua Castro Tavares, Rua Sizenando Nabuco e Rua Rosa da Fonseca",1000,2002,"Bloco: Discípulos do Oswaldo - Bairro: Manguinhos - Regiao: Zona Norte 2Data: 2018-01-31 - Concentração 17:00:00",NA,NA
"Batuke Nuclear","Centro","Centro",2018-02-01,"Quinta-feira - 1 semana antes do Carnaval",1899-12-31 18:00:00,1899-12-31 18:00:00,1899-12-31 22:00:00,"rua da candelaria  rio de janeiro","Parado",500,2007,"Bloco: Batuke Nuclear - Bairro: Centro - Regiao: Zona Norte 2Data: 2018-02-01 - Concentração 18:00:00",NA,NA
"Inova que eu Gosto","Flamengo","Zona Sul",2018-02-01,"Quinta-feira 1 semanas antes do Carnaval",1899-12-31 17:00:00,1899-12-31 18:00:00,1899-12-31 22:00:00,"rua barao do flamengo rio de janeiro","Rua Barão do Flamengo, da esquina com Praia do Flamengo até a Rua Senador Vergueiro",2000,2008,"Bloco: Inova que eu Gosto - Bairro: Flamengo - Regiao: Zona Norte 2Data: 2018-02-01 - Concentração 17:00:00",-43.1759661,-22.933082
"Badalo de Santa Teresa","Santa Teresa","Centro",2018-02-02,"Sexta-feira - 1 semana antes do Carnaval",1899-12-31 16:00:00,1899-12-31 16:00:00,1899-12-31 22:00:00,"largo das neves rio de janeiro","Parado",1000,1972,"Bloco: Badalo de Santa Teresa - Bairro: Santa Teresa - Regiao: Zona Norte 2Data: 2018-02-02 - Concentração 16:00:00",NA,NA
"É Pequeno, mas vai Crescer","Centro","Centro",2018-02-02,"Sexta-feira - 1 semana antes do Carnaval",1899-12-31 17:30:00,1899-12-31 19:00:00,1899-12-31 22:00:00,"rua alexandre mackenzie  esquina com rua senador pompeu rio de janeiro","Parado",400,2005,"Bloco: É Pequeno, mas vai Crescer - Bairro: Centro - Regiao: Zona Norte 2Data: 2018-02-02 - Concentração 17:30:00",NA,NA
"Ih, É Carnaval!","Urca","Zona Sul",2018-02-02,"Sexta-feira - 1 semana antes do Carnaval",1899-12-31 18:00:00,1899-12-31 20:00:00,1899-12-31 22:00:00,"av  pasteur  rio de janeiro","Segue pela Av. Pasteur anumero 250 até a Praça Medalha Milagrosa",5000,2003,"Bloco: Ih, É Carnaval! - Bairro: Urca - Regiao: Zona Norte 2Data: 2018-02-02 - Concentração 18:00:00",-43.1734135,-22.9523708
"Molha o Pé das Oito","Centro","Centro",2018-02-02,"Sexta-feira - 1 semana antes do Carnaval",1899-12-31 18:00:00,1899-12-31 20:00:00,1899-12-31 22:00:00,"buraco do lume rio de janeiro","Rua São José, Rua Rodrigo Solva, Rua da Assembléia, Rua do Carmo e Rua São José",500,2010,"Bloco: Molha o Pé das Oito - Bairro: Centro - Regiao: Zona Norte 2Data: 2018-02-02 - Concentração 18:00:00",-43.1751069,-22.9050189
"Ninho dos Cobras","Centro","Centro",2018-02-02,"Sexta-feira - 1 semana antes do Carnaval",1899-12-31 18:00:00,1899-12-31 19:30:00,1899-12-31 22:00:00,"largo sao francisco da prainha rio de janeiro","PARADO",800,2013,"Bloco: Ninho dos Cobras - Bairro: Centro - Regiao: Zona Norte 2Data: 2018-02-02 - Concentração 18:00:00",-43.1842755,-22.8976967
"Aconteceu","Santa Teresa","Centro",2018-02-03,"Sábado - 1 semana antes do Carnaval",1900-01-04 16:00:00,1900-01-04 18:00:00,1900-01-04 22:00:00,"rua aurea rio de janeiro","Parado",1000,2000,"Bloco: Aconteceu - Bairro: Santa Teresa - Regiao: Zona Norte 2Data: 2018-02-03 - Concentração 16:00:00",-43.1887309,-22.9223772
"Alegria do Sapê","Bento Ribeiro","Zona Norte 1",2018-02-03,"Sábado - 1 semana antes do Carnaval",1899-12-31 13:00:00,1899-12-31 15:00:00,1899-12-31 19:00:00,"rua picui rio de janeiro","Rua Picui 895  até o número 500, Largo do Sapê e volta",800,2016,"Bloco: Alegria do Sapê - Bairro: Bento Ribeiro - Regiao: Zona Norte 2Data: 2018-02-03 - Concentração 13:00:00",NA,NA
"Amigos da Esquina","Engenho de Dentro","Zona Norte 2",2018-02-03,"Sábado - 1 semana antes do Carnaval",1899-12-31 18:00:00,1899-12-31 20:00:00,1899-12-31 22:00:00,"rua pernambuco  rio de janeiro","Rua Pernambuco, Rua Barbacena e Rua Pernambuco",1000,2004,"Bloco: Amigos da Esquina - Bairro: Engenho de Dentro - Regiao: Zona Norte 2Data: 2018-02-03 - Concentração 18:00:00",-43.2992302,-22.8987046
"Amigos da Sueca da Pedro Américo","Catete","Zona Sul",2018-02-03,"Sábado - 1 semana antes do Carnaval",1899-12-31 17:00:00,1899-12-31 18:00:00,1899-12-31 21:30:00,"rua pedro americo  rio de janeiro","Parado",1000,2010,"Bloco: Amigos da Sueca da Pedro Américo - Bairro: Catete - Regiao: Zona Norte 2Data: 2018-02-03 - Concentração 17:00:00",-43.1815321,-22.9242144
"Aquilah","Madureira","Zona norte 1",2018-02-03,"Sábado - 1 semana antes do Carnaval",1899-12-31 15:00:00,1899-12-31 16:30:00,1899-12-31 19:30:00,"parque de madureira portao  rio de janeiro","Parque de Madureira portão 03, saindo pela pista até o portão 02 e retornando pelo mesmo local",450,2012,"Bloco: Aquilah - Bairro: Madureira - Regiao: Zona Norte 2Data: 2018-02-03 - Concentração 15:00:00",-43.3589665,-22.8493938
"Banda Bandida","Copacabana","Zona Sul",2018-02-03,"Sábado - 1 semana antes do Carnaval",1899-12-31 14:00:00,1899-12-31 16:00:00,1899-12-31 20:00:00,"rua rodolfo dantas rio de janeiro","Rua Rodolfo Dantas, Rua Barata Ribeiro, Rua Hilário de Gouveia, Avenida Nossa Senhora de Copacabana e volta Rua Rodolfo Dantas",2000,1977,"Bloco: Banda Bandida - Bairro: Copacabana - Regiao: Zona Norte 2Data: 2018-02-03 - Concentração 14:00:00",-43.1789186,-22.96607
"Banda da Penha","Penha","Zona Norte 1",2018-02-03,"Sábado - 1 semana antes do Carnaval",1899-12-31 16:00:00,1899-12-31 20:00:00,1899-12-31 22:00:00,"largo da rua couto rio de janeiro","Parado",1000,2014,"Bloco: Banda da Penha - Bairro: Penha - Regiao: Zona Norte 2Data: 2018-02-03 - Concentração 16:00:00",-43.2359697,-22.8904448
"Banda de Vila Isabel","Vila isabel","Tijuca e Adj",2018-02-03,"Sábado - 1 semana antes do Carnaval",1899-12-31 16:00:00,1899-12-31 18:00:00,1899-12-31 22:00:00,"praca  rio de janeiro","Barão do São Francisco, Teodoro da Silva, Gonzaga Bastos, 28 de Setembro pista de direita até Visconde de abaeté",3000,1977,"Bloco: Banda de Vila Isabel - Bairro: Vila isabel - Regiao: Zona Norte 2Data: 2018-02-03 - Concentração 16:00:00",-43.1735877,-22.9030884
"Banda do Pechincha","Pechincha","Barra/JPA",2018-02-03,"Sábado - 1 semana antes do Carnaval",1899-12-31 12:00:00,1899-12-31 14:00:00,1899-12-31 18:00:00,"largo do pechincha rio de janeiro","Estrada do Pau Ferro, do nº 15 ao nº 240",10000,2003,"Bloco: Banda do Pechincha - Bairro: Pechincha - Regiao: Zona Norte 2Data: 2018-02-03 - Concentração 12:00:00",-43.3547257,-22.9288063
"Banda do Tijuca Tênis Clube","Tijuca","Tijuca e Adj",2018-02-03,"Sábado - 1 semana antes do Carnaval",1899-12-31 17:00:00,1899-12-31 19:00:00,1899-12-31 22:00:00,"tijuca tenis clube rio de janeiro","R. conde do bonfim , R. Pareto, R. santo afonso, R. general Roca, R. conde do bonfim .",1000,1975,"Bloco: Banda do Tijuca Tênis Clube - Bairro: Tijuca - Regiao: Zona Norte 2Data: 2018-02-03 - Concentração 17:00:00",-43.2348442,-22.9268137
"Banda Haddock","Tijuca","Tijuca e Adj",2018-02-03,"Sábado - 1 semana antes do Carnaval",1899-12-31 16:00:00,1899-12-31 18:00:00,1899-12-31 22:00:00,"rua afonso pena  rio de janeiro","Rua Afonso Pena, Rua Haddock Lobo, Rua Campos Sales, Doutor Satamini, São Francisco Xavier, Largo da Segunda-feira, Rua Haddock Lobo e Rua Afonso Pena",2200,1984,"Bloco: Banda Haddock - Bairro: Tijuca - Regiao: Zona Norte 2Data: 2018-02-03 - Concentração 16:00:00",-43.2188022,-22.9177678
"Batuke de Ciata","Saúde","Centro",2018-02-03,"Sábado - 1 semana antes do Carnaval",1899-12-31 15:00:00,1899-12-31 17:00:00,1899-12-31 21:00:00,"praca coronel assuncao  praca da harmonia  rio de janeiro","Rua Sacadura Cabral, Rua Argemiro Bulcao, Pedra do Sal.",500,2015,"Bloco: Batuke de Ciata - Bairro: Saúde - Regiao: Zona Norte 2Data: 2018-02-03 - Concentração 15:00:00",-43.1916385,-22.8955242
"Batuke Imperial","São Cristóvão","Centro",2018-02-03,"Sábado - 1 semana antes do Carnaval",1899-12-31 13:00:00,1899-12-31 16:00:00,1899-12-31 19:00:00,"praca carmela dutra rio de janeiro","Praça Carmela Dutra, Rua Gal Almeiro de Moura, Rua Teixeira Junior, Rua São Januário, Rua Gal Argolo, Rua Gal José Cristino, Largo do Viana",800,2018,"Bloco: Batuke Imperial - Bairro: São Cristóvão - Regiao: Zona Norte 2Data: 2018-02-03 - Concentração 13:00:00",-43.2293455,-22.8898213
"Batuquebato","centro","centro",2018-02-03,"Sábado - 1 semana antes do Carnaval",1899-12-31 09:00:00,1899-12-31 10:00:00,1899-12-31 14:00:00,"praca xv rio de janeiro","Parado",800,2016,"Bloco: Batuquebato - Bairro: centro - Regiao: Zona Norte 2Data: 2018-02-03 - Concentração 09:00:00",-43.1735877,-22.9030884
"Blocão da Tijuca","Tijuca","Tijuca e Adj",2018-02-03,"Sábado - 1 semana antes do Carnaval",1899-12-31 09:00:00,1899-12-31 10:00:00,1899-12-31 13:00:00,"praca saens pena rio de janeiro","PARADO",500,2016,"Bloco: Blocão da Tijuca - Bairro: Tijuca - Regiao: Zona Norte 2Data: 2018-02-03 - Concentração 09:00:00",-43.2319558,-22.9242038
"Bloco Brasil","Leme","Zona Sul",2018-02-03,"Sábado - 1 semana antes do Carnaval",1899-12-31 12:00:00,1899-12-31 12:00:00,1899-12-31 18:00:00,"praca almirante julio de noronha rio de janeiro","Praça Almirante Julio de Noronha - Parado",10000,2007,"Bloco: Bloco Brasil - Bairro: Leme - Regiao: Zona Norte 2Data: 2018-02-03 - Concentração 12:00:00",-43.165429,-22.9617483
"Bloco D' Samba","Recreio dos Bandeirantes","Barra/JPA",2018-02-03,"Sábado - 1 semana antes do Carnaval",1899-12-31 10:00:00,1899-12-31 12:00:00,1899-12-31 16:00:00,"posto  do recreio rio de janeiro","Posto 10 do Recreio ao Posto 9.",3000,2016,"Bloco: Bloco D' Samba - Bairro: Recreio dos Bandeirantes - Regiao: Zona Norte 2Data: 2018-02-03 - Concentração 10:00:00",NA,NA
"Bloco da Ansiedade","Centro","Centro",2018-02-03,"Sábado - 1 semana antes do Carnaval",1899-12-31 14:00:00,1899-12-31 16:00:00,1899-12-31 19:00:00,"boulevard olimpico  rio de janeiro",NA,5000,1997,"Bloco: Bloco da Ansiedade - Bairro: Centro - Regiao: Zona Norte 2Data: 2018-02-03 - Concentração 14:00:00",-43.1810774,-22.8966177
"Bloco da Familha","Ilha do Governador","Zona Norte 3",2018-02-03,"Sábado - 1 semana antes do Carnaval",1899-12-31 16:00:00,1899-12-31 17:00:00,1899-12-31 21:00:00,"praia da bica rio de janeiro","Praça Jerusalém seguindo até o Rei do Bacalhau",2500,2018,"Bloco: Bloco da Familha - Bairro: Ilha do Governador - Regiao: Zona Norte 2Data: 2018-02-03 - Concentração 16:00:00",-43.1984214,-22.8185663
"Bloco da Mamadeira","Botafogo","Zona Sul",2018-02-03,"Sábado - 1 semana antes do Carnaval",1899-12-31 16:00:00,1899-12-31 16:00:00,1899-12-31 19:00:00,"praca parque general leandro rio de janeiro","Parado",200,2003,"Bloco: Bloco da Mamadeira - Bairro: Botafogo - Regiao: Zona Norte 2Data: 2018-02-03 - Concentração 16:00:00",-43.1745579,-22.9554692
"Bloco da Pracinha","Jardim Botânico","Zona Sul",2018-02-03,"Sábado - 1 semana antes do Carnaval",1899-12-31 10:00:00,1899-12-31 12:00:00,1899-12-31 14:00:00,"praca pio xi rio de janeiro","Parado",500,2006,"Bloco: Bloco da Pracinha - Bairro: Jardim Botânico - Regiao: Zona Norte 2Data: 2018-02-03 - Concentração 10:00:00",-43.2173392,-22.9613267
"Bloco da Sá Pereira Infantil","Botafogo","Zona Sul",2018-02-03,"Sábado - 1 semana antes do Carnaval",1899-12-31 08:00:00,1899-12-31 09:00:00,1899-12-31 13:00:00,"rua capistrano de abreu  rio de janeiro","Rua Capistrano de Abreu, Rua Conde de Irajá, Largo dos Leões, Rua São Clemente, Rua Marques e Rua Capistrano de Abreu",600,1990,"Bloco: Bloco da Sá Pereira Infantil - Bairro: Botafogo - Regiao: Zona Norte 2Data: 2018-02-03 - Concentração 08:00:00",-43.1958175,-22.9544309
"Bloco da Saara","Centro","Centro",2018-02-03,"Sábado - 1 semana antes do Carnaval",1899-12-31 13:00:00,1899-12-31 15:00:00,1899-12-31 19:00:00,"praca do mascate rio de janeiro","Parado",300,2018,"Bloco: Bloco da Saara - Bairro: Centro - Regiao: Zona Norte 2Data: 2018-02-03 - Concentração 13:00:00",NA,NA
"Bloco da Urubuzada","Tijuca","Tijuca e Adj",2018-02-03,"Sábado - 1 semana antes do Carnaval",1899-12-31 13:00:00,1899-12-31 15:00:00,1899-12-31 19:00:00,"praca afonso pena rio de janeiro","Praça Afonso Pena, Rua Campos Sales, Rua Mariz e Barros, R. Afonso Pena terminando na Praça novamente.

",1000,2008,"Bloco: Bloco da Urubuzada - Bairro: Tijuca - Regiao: Zona Norte 2Data: 2018-02-03 - Concentração 13:00:00",-43.2181562,-22.9180632
"Bloco do Balde","Sulacap","Zona Oeste",2018-02-03,"Sábado - 1 semana antes do Carnaval",1899-12-31 17:00:00,1899-12-31 18:00:00,1899-12-31 20:30:00,"praca h  rua antonio de mendonca  rio de janeiro","Saída Rua Antonio de Mendonça, Rua Teofilo Guimarães, Rua Gonçalo Rollemberg, Rua Barbara Heliodor, Rua Teodoro Sampaio, Rua Oliveira Martins, Rua Maria Grham, Para na Praça Nino Roland, Retorno, Maria Grham, Rua Oliveira Martins, Rua Teodoro Sampaio, Rua Guilherme Francisco Cruz, Rua Olimpio de Castro e término na Rua Antonio de Mendonça.",500,1968,"Bloco: Bloco do Balde - Bairro: Sulacap - Regiao: Zona Norte 2Data: 2018-02-03 - Concentração 17:00:00",NA,NA
"Bloco do Cocoloko","Barra da Tijuca","Barra/JPA",2018-02-03,"Sábado - 1 semana antes do Carnaval",1899-12-31 14:00:00,1899-12-31 15:00:00,1899-12-31 20:00:00,"lucio costa   rio de janeiro","Parado",15000,2016,"Bloco: Bloco do Cocoloko - Bairro: Barra da Tijuca - Regiao: Zona Norte 2Data: 2018-02-03 - Concentração 14:00:00",NA,NA
"Bloco do Esporte Clube Jardim Guanabara","Ilha do Governador","Zona Norte 3",2018-02-03,"Sábado - 1 semana antes do Carnaval",1899-12-31 08:00:00,1899-12-31 10:00:00,1899-12-31 14:00:00,"praca jerusalem rio de janeiro","Prç. Jerusalém em frente ao E.C. Jardim Guanabara, Praia da bica até o Rei do bacalhau, entra na rua babaçu, retornando pela rua Mangalo, rua Henrique  Lacombe em direçao a praia da Bica, seguindo até a praça jerusalém.",800,2000,"Bloco: Bloco do Esporte Clube Jardim Guanabara - Bairro: Ilha do Governador - Regiao: Zona Norte 2Data: 2018-02-03 - Concentração 08:00:00",-43.2011982,-22.8188248
"Bloco do Ipê","Tijuca","Tijuca e Adj",2018-02-03,"Sábado - 1 semana antes do Carnaval",1899-12-31 16:00:00,1899-12-31 17:00:00,1899-12-31 18:00:00,"rua alm  cochrane  rio de janeiro","Vira na Rua Dulce até a Rua São Francisco Xavier retornando a origem.",150,2008,"Bloco: Bloco do Ipê - Bairro: Tijuca - Regiao: Zona Norte 2Data: 2018-02-03 - Concentração 16:00:00",-43.227711,-22.920805
"Bloco do Limão","Jardim América","Zona Norte 2",2018-02-03,"Sábado - 1 semana antes do Carnaval",1899-12-31 16:00:00,1899-12-31 18:00:00,1899-12-31 22:00:00,"praca rivadavia c maia rio de janeiro","Parado",800,2010,"Bloco: Bloco do Limão - Bairro: Jardim América - Regiao: Zona Norte 2Data: 2018-02-03 - Concentração 16:00:00",NA,NA
"Bloco do Rock","Centro","Centro",2018-02-03,"Sábado - 1 semana antes do Carnaval",1899-12-31 18:00:00,1899-12-31 18:00:00,1899-12-31 21:00:00,"largo de sao francisco rio de janeiro","Parado",2000,2014,"Bloco: Bloco do Rock - Bairro: Centro - Regiao: Zona Norte 2Data: 2018-02-03 - Concentração 18:00:00",-43.1811144,-22.9052041
"Bloco dos Mendigos","Copacabana","Zona Sul",2018-02-03,"Sábado - 1 semana antes do Carnaval",1899-12-31 10:00:00,1899-12-31 12:00:00,1899-12-31 15:00:00,"rua bulhoes de carvalho rio de janeiro","Rua Bulhões de Carvalho, Rua Rainha Elizabeth, Rua Teresa Aragão, Rua Gomes Carneiro e Rua Bulhões de Carvalho",3000,2006,"Bloco: Bloco dos Mendigos - Bairro: Copacabana - Regiao: Zona Norte 2Data: 2018-02-03 - Concentração 10:00:00",-43.1935143,-22.9846964
"Boca Aberta","Bonsucesso","Zona Norte 2",2018-02-03,"Quarta- feira- 1 semana antes do Carnaval",1899-12-31 15:00:00,1899-12-31 18:00:00,1899-12-31 21:00:00,"praca da nova holanda rio de janeiro","Rua Sargento Silva nunes, Rua Principal, Rua São Jorge",400,2014,"Bloco: Boca Aberta - Bairro: Bonsucesso - Regiao: Zona Norte 2Data: 2018-02-03 - Concentração 15:00:00",-41.7739325,-22.3589419
"Butano na Bureta","Maracanã","Tijuca e Adj",2018-02-03,"Sábado - 1 semana antes do Carnaval",1899-12-31 13:00:00,1899-12-31 13:00:00,1899-12-31 19:00:00,"rua senador furtado rio de janeiro","Rua Senador Furtado, da Rua Pará até a Avenida Radial Oeste, voltando pela Senador Furtado até a concentração",1000,2009,"Bloco: Butano na Bureta - Bairro: Maracanã - Regiao: Zona Norte 2Data: 2018-02-03 - Concentração 13:00:00",-43.2186893,-22.9116765
"Calma Amor","Irajá","Zona Norte 1",2018-02-03,"Sábado - 1 semana antes do Carnaval",1899-12-31 16:00:00,1899-12-31 16:00:00,1899-12-31 22:00:00,"praca ferreira souto rio de janeiro","Parado",5000,2010,"Bloco: Calma Amor - Bairro: Irajá - Regiao: Zona Norte 2Data: 2018-02-03 - Concentração 16:00:00",-43.328973,-22.8278221
"Carmelitas (ENSAIO)","Centro","Centro",2018-02-03,"Sabado - 1 semana antes do Carnaval",1899-12-31 16:00:00,1899-12-31 16:00:00,1899-12-31 22:00:00,"praca tiradentes rio de janeiro","PARADO",800,1990,"Bloco: Carmelitas (ENSAIO) - Bairro: Centro - Regiao: Zona Norte 2Data: 2018-02-03 - Concentração 16:00:00",-41.5079898,-17.8641323
"Céu na Terra","Santa Teresa","Centro",2018-02-03,"Sábado - 1 semana antes do Carnaval",1899-12-31 07:00:00,1899-12-31 08:00:00,1899-12-31 11:00:00,"largo dos guimaraes rio de janeiro","Rua Pascoal Carlos Magno, Rua Monte Alegre, Rua Oriente, Rua Progresso, Largo das Neves",7000,2001,"Bloco: Céu na Terra - Bairro: Santa Teresa - Regiao: Zona Norte 2Data: 2018-02-03 - Concentração 07:00:00",NA,NA
"Confraria da Bebidinha","Abolição","Zona Norte 2",2018-02-03,"Sábado - 1 semana antes do Carnaval",1899-12-31 13:00:00,1899-12-31 16:00:00,1899-12-31 19:00:00,"rua da abolicao  rio de janeiro","Saindo da Rua da Abolição, 671 (Calçada do Banco Itaú) pela Rua da Abolição até a esquina da Rua Mario Carpenter e retorno pela Rua Abolição até o local da Concentração",1000,2008,"Bloco: Confraria da Bebidinha - Bairro: Abolição - Regiao: Zona Norte 2Data: 2018-02-03 - Concentração 13:00:00",-43.2963783,-22.8878131
